Orthogroup	PV_ATCC8482	PV_ATCC8482_copy
OG0000000_1	PV_ATCC8482_03390	PV_ATCC8482_copy_03390
OG0000000_2	PV_ATCC8482_04002	PV_ATCC8482_copy_04002
OG0000000_3	PV_ATCC8482_03011	PV_ATCC8482_copy_03011
OG0000000_4	PV_ATCC8482_02125	PV_ATCC8482_copy_02125
OG0000000_5	PV_ATCC8482_00206	PV_ATCC8482_copy_00206
OG0000000_6	PV_ATCC8482_01551	PV_ATCC8482_copy_01551
OG0000000_7	PV_ATCC8482_04114	PV_ATCC8482_copy_04114
OG0000000_8	PV_ATCC8482_03962	PV_ATCC8482_copy_03962
OG0000000_9	PV_ATCC8482_02332	PV_ATCC8482_copy_02332
OG0000000_10	PV_ATCC8482_01310	PV_ATCC8482_copy_01310
OG0000000_11	PV_ATCC8482_02079	PV_ATCC8482_copy_02079
OG0000001_1	PV_ATCC8482_01515	PV_ATCC8482_copy_01515
OG0000001_2	PV_ATCC8482_03597	PV_ATCC8482_copy_03597
OG0000001_3	PV_ATCC8482_00048	PV_ATCC8482_copy_00048
OG0000001_4	PV_ATCC8482_00178	PV_ATCC8482_copy_00178
OG0000001_5	PV_ATCC8482_03541	PV_ATCC8482_copy_03541
OG0000001_6	PV_ATCC8482_00024	PV_ATCC8482_copy_00024
OG0000002_1	PV_ATCC8482_03589	PV_ATCC8482_copy_03589
OG0000002_2	PV_ATCC8482_01573	PV_ATCC8482_copy_01573
OG0000002_3	PV_ATCC8482_03441	PV_ATCC8482_copy_03441
OG0000002_4	PV_ATCC8482_00371	PV_ATCC8482_copy_00371
OG0000002_5	PV_ATCC8482_00798	PV_ATCC8482_copy_00798
OG0000003_1	PV_ATCC8482_00389	PV_ATCC8482_copy_00389
OG0000003_2	PV_ATCC8482_00039	PV_ATCC8482_copy_00039
OG0000003_3	PV_ATCC8482_00936	PV_ATCC8482_copy_00936
OG0000003_4	PV_ATCC8482_01225	PV_ATCC8482_copy_01225
OG0000003_5	PV_ATCC8482_01787	PV_ATCC8482_copy_01787
OG0000004_1	PV_ATCC8482_01572	PV_ATCC8482_copy_01572
OG0000004_2	PV_ATCC8482_03590	PV_ATCC8482_copy_03590
OG0000004_3	PV_ATCC8482_03442	PV_ATCC8482_copy_03442
OG0000004_4	PV_ATCC8482_00372	PV_ATCC8482_copy_00372
