Orthogroup	BU_ATCC8492	PV_ATCC8482
OG0000000	BU_ATCC8492_00653, BU_ATCC8492_02813	PV_ATCC8482_00206, PV_ATCC8482_01310, PV_ATCC8482_01481, PV_ATCC8482_01551, PV_ATCC8482_01944, PV_ATCC8482_02079, PV_ATCC8482_02125, PV_ATCC8482_02141, PV_ATCC8482_02332, PV_ATCC8482_02700, PV_ATCC8482_02986, PV_ATCC8482_03011, PV_ATCC8482_03390, PV_ATCC8482_03649, PV_ATCC8482_03655, PV_ATCC8482_03867, PV_ATCC8482_03962, PV_ATCC8482_04002, PV_ATCC8482_04114
OG0000001	BU_ATCC8492_00251, BU_ATCC8492_00555, BU_ATCC8492_00592, BU_ATCC8492_00595, BU_ATCC8492_00703, BU_ATCC8492_00714, BU_ATCC8492_00752, BU_ATCC8492_00753, BU_ATCC8492_00755, BU_ATCC8492_01034, BU_ATCC8492_01098, BU_ATCC8492_01196, BU_ATCC8492_01200, BU_ATCC8492_01201, BU_ATCC8492_01245, BU_ATCC8492_01719, BU_ATCC8492_02223, BU_ATCC8492_03573, BU_ATCC8492_03574	PV_ATCC8482_01206
OG0000002	BU_ATCC8492_00422, BU_ATCC8492_00559, BU_ATCC8492_00588, BU_ATCC8492_00593, BU_ATCC8492_00650, BU_ATCC8492_00707, BU_ATCC8492_00749, BU_ATCC8492_00991, BU_ATCC8492_01194, BU_ATCC8492_01236, BU_ATCC8492_01541, BU_ATCC8492_02024, BU_ATCC8492_02218, BU_ATCC8492_03503, BU_ATCC8492_03805	PV_ATCC8482_00874
OG0000003	BU_ATCC8492_00418, BU_ATCC8492_00537, BU_ATCC8492_00924, BU_ATCC8492_01269, BU_ATCC8492_01593, BU_ATCC8492_01636, BU_ATCC8492_02059, BU_ATCC8492_02550, BU_ATCC8492_02653, BU_ATCC8492_02862, BU_ATCC8492_03205, BU_ATCC8492_03267, BU_ATCC8492_03314, BU_ATCC8492_03749, BU_ATCC8492_03879	PV_ATCC8482_02369
OG0000004	BU_ATCC8492_03286	PV_ATCC8482_00117, PV_ATCC8482_00432, PV_ATCC8482_02045, PV_ATCC8482_02076, PV_ATCC8482_02263, PV_ATCC8482_02286, PV_ATCC8482_02287, PV_ATCC8482_02501, PV_ATCC8482_02579, PV_ATCC8482_02625, PV_ATCC8482_03161, PV_ATCC8482_03555, PV_ATCC8482_03654
OG0000005	BU_ATCC8492_01116	PV_ATCC8482_00041, PV_ATCC8482_00142, PV_ATCC8482_00175, PV_ATCC8482_00177, PV_ATCC8482_00179, PV_ATCC8482_00315, PV_ATCC8482_00384, PV_ATCC8482_01876, PV_ATCC8482_03006, PV_ATCC8482_03009
OG0000006	BU_ATCC8492_00255	PV_ATCC8482_00040, PV_ATCC8482_00141, PV_ATCC8482_00174, PV_ATCC8482_00180, PV_ATCC8482_00316, PV_ATCC8482_00383, PV_ATCC8482_00536, PV_ATCC8482_01877, PV_ATCC8482_03007, PV_ATCC8482_03010
OG0000007	BU_ATCC8492_00708, BU_ATCC8492_00711, BU_ATCC8492_00789, BU_ATCC8492_00796, BU_ATCC8492_00982, BU_ATCC8492_00990, BU_ATCC8492_00999, BU_ATCC8492_01003, BU_ATCC8492_01008, BU_ATCC8492_01806, BU_ATCC8492_02028	
OG0000008	BU_ATCC8492_01294	PV_ATCC8482_00843, PV_ATCC8482_01332, PV_ATCC8482_01411, PV_ATCC8482_01486, PV_ATCC8482_01514, PV_ATCC8482_01555, PV_ATCC8482_01916, PV_ATCC8482_03008, PV_ATCC8482_03233, PV_ATCC8482_03894
OG0000009	BU_ATCC8492_01588, BU_ATCC8492_02845, BU_ATCC8492_02994, BU_ATCC8492_03001, BU_ATCC8492_03095, BU_ATCC8492_03466, BU_ATCC8492_03567, BU_ATCC8492_03752	PV_ATCC8482_01007, PV_ATCC8482_03568, PV_ATCC8482_03595
OG0000010	BU_ATCC8492_02191	PV_ATCC8482_01569, PV_ATCC8482_02484, PV_ATCC8482_02944, PV_ATCC8482_03055, PV_ATCC8482_03326, PV_ATCC8482_03506, PV_ATCC8482_03567, PV_ATCC8482_03787, PV_ATCC8482_04116, PV_ATCC8482_04269
OG0000011	BU_ATCC8492_03206	PV_ATCC8482_00038, PV_ATCC8482_00388, PV_ATCC8482_00510, PV_ATCC8482_00937, PV_ATCC8482_01224, PV_ATCC8482_01274, PV_ATCC8482_01372, PV_ATCC8482_01788, PV_ATCC8482_03781, PV_ATCC8482_04125
OG0000012	BU_ATCC8492_01853	PV_ATCC8482_00114, PV_ATCC8482_00385, PV_ATCC8482_00408, PV_ATCC8482_00527, PV_ATCC8482_00655, PV_ATCC8482_00981, PV_ATCC8482_01850, PV_ATCC8482_01875, PV_ATCC8482_04218
OG0000013	BU_ATCC8492_00587, BU_ATCC8492_00657, BU_ATCC8492_00715, BU_ATCC8492_00896, BU_ATCC8492_00958, BU_ATCC8492_00959, BU_ATCC8492_01186, BU_ATCC8492_01717, BU_ATCC8492_02217	PV_ATCC8482_01419
OG0000014	BU_ATCC8492_03557	PV_ATCC8482_00162, PV_ATCC8482_00185, PV_ATCC8482_00191, PV_ATCC8482_01816, PV_ATCC8482_01837, PV_ATCC8482_01839, PV_ATCC8482_02053, PV_ATCC8482_02224, PV_ATCC8482_02812
OG0000015	BU_ATCC8492_01876, BU_ATCC8492_01919, BU_ATCC8492_02415, BU_ATCC8492_02421, BU_ATCC8492_02534, BU_ATCC8492_02874, BU_ATCC8492_03218, BU_ATCC8492_03419	PV_ATCC8482_02743
OG0000016	BU_ATCC8492_00396, BU_ATCC8492_00746, BU_ATCC8492_00945, BU_ATCC8492_01412, BU_ATCC8492_02231, BU_ATCC8492_02401, BU_ATCC8492_02682, BU_ATCC8492_03195	PV_ATCC8482_00392
OG0000017	BU_ATCC8492_01259, BU_ATCC8492_01266, BU_ATCC8492_01303, BU_ATCC8492_01306, BU_ATCC8492_01313, BU_ATCC8492_01432, BU_ATCC8492_02437	PV_ATCC8482_02756, PV_ATCC8482_02763
OG0000018	BU_ATCC8492_01587, BU_ATCC8492_02844, BU_ATCC8492_02995, BU_ATCC8492_03000, BU_ATCC8492_03096, BU_ATCC8492_03467, BU_ATCC8492_03566, BU_ATCC8492_03751	PV_ATCC8482_03868
OG0000019	BU_ATCC8492_02350, BU_ATCC8492_02359, BU_ATCC8492_02406	PV_ATCC8482_01800, PV_ATCC8482_02472, PV_ATCC8482_03042, PV_ATCC8482_03536, PV_ATCC8482_04027, PV_ATCC8482_04120
OG0000020	BU_ATCC8492_02765	PV_ATCC8482_01243, PV_ATCC8482_01247, PV_ATCC8482_01753, PV_ATCC8482_01756, PV_ATCC8482_01887, PV_ATCC8482_03304, PV_ATCC8482_03893, PV_ATCC8482_03949
OG0000021	BU_ATCC8492_03274	PV_ATCC8482_01107, PV_ATCC8482_02466, PV_ATCC8482_03539, PV_ATCC8482_04031, PV_ATCC8482_04075, PV_ATCC8482_04078, PV_ATCC8482_04079, PV_ATCC8482_04081
OG0000022	BU_ATCC8492_03560	PV_ATCC8482_00168, PV_ATCC8482_00190, PV_ATCC8482_01868, PV_ATCC8482_01873, PV_ATCC8482_01885, PV_ATCC8482_02091, PV_ATCC8482_02092, PV_ATCC8482_02221
OG0000023	BU_ATCC8492_00030, BU_ATCC8492_00031, BU_ATCC8492_00202, BU_ATCC8492_01754, BU_ATCC8492_01757, BU_ATCC8492_02641, BU_ATCC8492_02800	PV_ATCC8482_03827
OG0000024	BU_ATCC8492_03167, BU_ATCC8492_03168	PV_ATCC8482_03260, PV_ATCC8482_03262, PV_ATCC8482_03263, PV_ATCC8482_03264, PV_ATCC8482_03531, PV_ATCC8482_03620
OG0000025	BU_ATCC8492_00102	PV_ATCC8482_00160, PV_ATCC8482_00186, PV_ATCC8482_01353, PV_ATCC8482_01853, PV_ATCC8482_01867, PV_ATCC8482_01940, PV_ATCC8482_02720
OG0000026	BU_ATCC8492_01273	PV_ATCC8482_01140, PV_ATCC8482_01271, PV_ATCC8482_01325, PV_ATCC8482_01333, PV_ATCC8482_01396, PV_ATCC8482_01435, PV_ATCC8482_01536
OG0000027	BU_ATCC8492_01856	PV_ATCC8482_00587, PV_ATCC8482_00595, PV_ATCC8482_00597, PV_ATCC8482_00646, PV_ATCC8482_01092, PV_ATCC8482_01301, PV_ATCC8482_02088
OG0000028	BU_ATCC8492_01914, BU_ATCC8492_02375, BU_ATCC8492_02714, BU_ATCC8492_02878, BU_ATCC8492_03424, BU_ATCC8492_03439	PV_ATCC8482_00726, PV_ATCC8482_01602
OG0000029	BU_ATCC8492_02002	PV_ATCC8482_00106, PV_ATCC8482_00562, PV_ATCC8482_00585, PV_ATCC8482_01083, PV_ATCC8482_01293, PV_ATCC8482_01814, PV_ATCC8482_04156
OG0000030		PV_ATCC8482_00371, PV_ATCC8482_00798, PV_ATCC8482_00887, PV_ATCC8482_01573, PV_ATCC8482_01754, PV_ATCC8482_02969, PV_ATCC8482_03441, PV_ATCC8482_03589
OG0000031		PV_ATCC8482_00372, PV_ATCC8482_00797, PV_ATCC8482_00886, PV_ATCC8482_01572, PV_ATCC8482_01755, PV_ATCC8482_02968, PV_ATCC8482_03442, PV_ATCC8482_03590
OG0000032		PV_ATCC8482_01141, PV_ATCC8482_01270, PV_ATCC8482_01324, PV_ATCC8482_01395, PV_ATCC8482_01436, PV_ATCC8482_01535, PV_ATCC8482_02158, PV_ATCC8482_02498
OG0000033	BU_ATCC8492_00421, BU_ATCC8492_00750, BU_ATCC8492_00881, BU_ATCC8492_01237, BU_ATCC8492_02219, BU_ATCC8492_03504, BU_ATCC8492_03804	
OG0000034	BU_ATCC8492_02525, BU_ATCC8492_02746, BU_ATCC8492_02872, BU_ATCC8492_03211, BU_ATCC8492_03217	PV_ATCC8482_01111, PV_ATCC8482_04129
OG0000035	BU_ATCC8492_00760	PV_ATCC8482_00588, PV_ATCC8482_00594, PV_ATCC8482_00596, PV_ATCC8482_00599, PV_ATCC8482_00651, PV_ATCC8482_03805
OG0000036	BU_ATCC8492_02750, BU_ATCC8492_03222	PV_ATCC8482_01156, PV_ATCC8482_01171, PV_ATCC8482_01328, PV_ATCC8482_02717, PV_ATCC8482_03557
OG0000037	BU_ATCC8492_00285, BU_ATCC8492_01025	PV_ATCC8482_00126, PV_ATCC8482_00516, PV_ATCC8482_01173, PV_ATCC8482_01176, PV_ATCC8482_02723
OG0000038	BU_ATCC8492_00032, BU_ATCC8492_00201, BU_ATCC8492_01753, BU_ATCC8492_01933, BU_ATCC8492_02642, BU_ATCC8492_02802	PV_ATCC8482_01622
OG0000039	BU_ATCC8492_00137, BU_ATCC8492_00286, BU_ATCC8492_00318, BU_ATCC8492_00622, BU_ATCC8492_00998, BU_ATCC8492_01027, BU_ATCC8492_01582	
OG0000040	BU_ATCC8492_00173, BU_ATCC8492_00330, BU_ATCC8492_00331, BU_ATCC8492_00500, BU_ATCC8492_00673, BU_ATCC8492_00806, BU_ATCC8492_01454	
OG0000041	BU_ATCC8492_00568, BU_ATCC8492_00590, BU_ATCC8492_00700, BU_ATCC8492_00701, BU_ATCC8492_01059, BU_ATCC8492_01060	PV_ATCC8482_02294
OG0000042	BU_ATCC8492_00606, BU_ATCC8492_00879, BU_ATCC8492_00885, BU_ATCC8492_00888, BU_ATCC8492_02013, BU_ATCC8492_03730, BU_ATCC8492_03802	
OG0000043	BU_ATCC8492_00773	PV_ATCC8482_00289, PV_ATCC8482_00290, PV_ATCC8482_00291, PV_ATCC8482_00293, PV_ATCC8482_00636, PV_ATCC8482_01511
OG0000044	BU_ATCC8492_00826	PV_ATCC8482_00024, PV_ATCC8482_00048, PV_ATCC8482_00178, PV_ATCC8482_01515, PV_ATCC8482_03541, PV_ATCC8482_03597
OG0000045	BU_ATCC8492_00909, BU_ATCC8492_00911, BU_ATCC8492_00912, BU_ATCC8492_00914, BU_ATCC8492_00916, BU_ATCC8492_00918, BU_ATCC8492_00920	
OG0000046	BU_ATCC8492_01510, BU_ATCC8492_03915	PV_ATCC8482_00327, PV_ATCC8482_01121, PV_ATCC8482_01912, PV_ATCC8482_01915, PV_ATCC8482_01922
OG0000047	BU_ATCC8492_01976	PV_ATCC8482_00673, PV_ATCC8482_01662, PV_ATCC8482_01813, PV_ATCC8482_02160, PV_ATCC8482_02542, PV_ATCC8482_03950
OG0000048	BU_ATCC8492_02842	PV_ATCC8482_00176, PV_ATCC8482_02888, PV_ATCC8482_03207, PV_ATCC8482_03271, PV_ATCC8482_03283, PV_ATCC8482_03452
