Orthogroup	BU_ATCC8492	BU_ATCC8492_copy
OG0000000_1	BU_ATCC8492_03751	BU_ATCC8492_copy_03751
OG0000000_2	BU_ATCC8492_03467	BU_ATCC8492_copy_03467
OG0000000_3	BU_ATCC8492_03566	BU_ATCC8492_copy_03566
OG0000000_4	BU_ATCC8492_01587	BU_ATCC8492_copy_01587
OG0000000_5	BU_ATCC8492_02995	BU_ATCC8492_copy_02995
OG0000000_6	BU_ATCC8492_03000	BU_ATCC8492_copy_03000
OG0000000_7	BU_ATCC8492_03096	BU_ATCC8492_copy_03096
OG0000000_8	BU_ATCC8492_02844	BU_ATCC8492_copy_02844
OG0000001_1	BU_ATCC8492_03752	BU_ATCC8492_copy_03752
OG0000001_2	BU_ATCC8492_03466	BU_ATCC8492_copy_03466
OG0000001_3	BU_ATCC8492_03567	BU_ATCC8492_copy_03567
OG0000001_4	BU_ATCC8492_02994	BU_ATCC8492_copy_02994
OG0000001_5	BU_ATCC8492_01588	BU_ATCC8492_copy_01588
OG0000001_6	BU_ATCC8492_03095	BU_ATCC8492_copy_03095
OG0000001_7	BU_ATCC8492_03001	BU_ATCC8492_copy_03001
OG0000001_8	BU_ATCC8492_02845	BU_ATCC8492_copy_02845
OG0000002_1	BU_ATCC8492_00673	BU_ATCC8492_copy_00673
OG0000002_2	BU_ATCC8492_00806	BU_ATCC8492_copy_00806
OG0000002_3	BU_ATCC8492_00173	BU_ATCC8492_copy_00173
OG0000002_4	BU_ATCC8492_01454	BU_ATCC8492_copy_01454
OG0000002_5	BU_ATCC8492_00500	BU_ATCC8492_copy_00500
OG0000003_1	BU_ATCC8492_00672	BU_ATCC8492_copy_00672
OG0000003_2	BU_ATCC8492_00172	BU_ATCC8492_copy_00172
OG0000003_3	BU_ATCC8492_00332	BU_ATCC8492_copy_00332
OG0000004_1	BU_ATCC8492_01453	BU_ATCC8492_copy_01453
OG0000004_2	BU_ATCC8492_00501	BU_ATCC8492_copy_00501
OG0000004_3	BU_ATCC8492_00807	BU_ATCC8492_copy_00807
OG0000005_1	BU_ATCC8492_01512	BU_ATCC8492_copy_01512
OG0000005_2	BU_ATCC8492_03913	BU_ATCC8492_copy_03913
OG0000006_1	BU_ATCC8492_00196	BU_ATCC8492_copy_00196
OG0000006_2	BU_ATCC8492_00037	BU_ATCC8492_copy_00037
OG0000007_1	BU_ATCC8492_03229	BU_ATCC8492_copy_03229
OG0000007_2	BU_ATCC8492_01175	BU_ATCC8492_copy_01175
OG0000008_1	BU_ATCC8492_01176	BU_ATCC8492_copy_01176
OG0000008_2	BU_ATCC8492_03230	BU_ATCC8492_copy_03230
OG0000009_1	BU_ATCC8492_01177	BU_ATCC8492_copy_01177
OG0000009_2	BU_ATCC8492_03231	BU_ATCC8492_copy_03231
OG0000010_1	BU_ATCC8492_03232	BU_ATCC8492_copy_03232
OG0000010_2	BU_ATCC8492_01178	BU_ATCC8492_copy_01178
OG0000011_1	BU_ATCC8492_03233	BU_ATCC8492_copy_03233
OG0000011_2	BU_ATCC8492_01179	BU_ATCC8492_copy_01179
OG0000012_1	BU_ATCC8492_03917	BU_ATCC8492_copy_03917
OG0000012_2	BU_ATCC8492_01501	BU_ATCC8492_copy_01501
OG0000013_1	BU_ATCC8492_03919	BU_ATCC8492_copy_03919
OG0000013_2	BU_ATCC8492_01503	BU_ATCC8492_copy_01503
OG0000014_1	BU_ATCC8492_01504	BU_ATCC8492_copy_01504
OG0000014_2	BU_ATCC8492_03912	BU_ATCC8492_copy_03912
OG0000015_1	BU_ATCC8492_01505	BU_ATCC8492_copy_01505
OG0000015_2	BU_ATCC8492_03911	BU_ATCC8492_copy_03911
OG0000016_1	BU_ATCC8492_01506	BU_ATCC8492_copy_01506
OG0000016_2	BU_ATCC8492_03910	BU_ATCC8492_copy_03910
OG0000017_1	BU_ATCC8492_01507	BU_ATCC8492_copy_01507
OG0000017_2	BU_ATCC8492_03909	BU_ATCC8492_copy_03909
OG0000018_1	BU_ATCC8492_01508	BU_ATCC8492_copy_01508
OG0000018_2	BU_ATCC8492_03908	BU_ATCC8492_copy_03908
OG0000019_1	BU_ATCC8492_03916	BU_ATCC8492_copy_03916
OG0000019_2	BU_ATCC8492_01509	BU_ATCC8492_copy_01509
OG0000020_1	BU_ATCC8492_03915	BU_ATCC8492_copy_03915
OG0000020_2	BU_ATCC8492_01510	BU_ATCC8492_copy_01510
OG0000021_1	BU_ATCC8492_03914	BU_ATCC8492_copy_03914
OG0000021_2	BU_ATCC8492_01511	BU_ATCC8492_copy_01511
OG0000022_1	BU_ATCC8492_02350	BU_ATCC8492_copy_02350
OG0000022_2	BU_ATCC8492_02359	BU_ATCC8492_copy_02359
OG0000023_1	BU_ATCC8492_00026	BU_ATCC8492_copy_00026
OG0000024_1	BU_ATCC8492_00206	BU_ATCC8492_copy_00206
OG0000025_1	BU_ATCC8492_01940	BU_ATCC8492_copy_01940
OG0000026_1	BU_ATCC8492_02637	BU_ATCC8492_copy_02637
OG0000027_1	BU_ATCC8492_00318	BU_ATCC8492_copy_00318
OG0000028_1	BU_ATCC8492_00622	BU_ATCC8492_copy_00622
OG0000029_1	BU_ATCC8492_00286	BU_ATCC8492_copy_00286
OG0000030_1	BU_ATCC8492_01027	BU_ATCC8492_copy_01027
OG0000031_1	BU_ATCC8492_01266	BU_ATCC8492_copy_01266
OG0000032_1	BU_ATCC8492_01313	BU_ATCC8492_copy_01313
OG0000033_1	BU_ATCC8492_01303	BU_ATCC8492_copy_01303
OG0000034_1	BU_ATCC8492_01306	BU_ATCC8492_copy_01306
OG0000035_1	BU_ATCC8492_00592	BU_ATCC8492_copy_00592
OG0000036_1	BU_ATCC8492_00595	BU_ATCC8492_copy_00595
OG0000037_1	BU_ATCC8492_00714	BU_ATCC8492_copy_00714
OG0000038_1	BU_ATCC8492_00943	BU_ATCC8492_copy_00943
OG0000039_1	BU_ATCC8492_01123	BU_ATCC8492_copy_01123
OG0000040_1	BU_ATCC8492_01395	BU_ATCC8492_copy_01395
OG0000041_1	BU_ATCC8492_00996	BU_ATCC8492_copy_00996
