Orthogroup	BU_ATCC8492	BU_ATCC8492_copy	BU_ATCC8492_copy_copy
OG0000000	BU_ATCC8492_01587, BU_ATCC8492_02844, BU_ATCC8492_02995, BU_ATCC8492_03000, BU_ATCC8492_03096, BU_ATCC8492_03467, BU_ATCC8492_03566, BU_ATCC8492_03751	BU_ATCC8492_01587, BU_ATCC8492_02844, BU_ATCC8492_02995, BU_ATCC8492_03000, BU_ATCC8492_03096, BU_ATCC8492_03467, BU_ATCC8492_03566, BU_ATCC8492_03751	BU_ATCC8492_01587, BU_ATCC8492_02844, BU_ATCC8492_02995, BU_ATCC8492_03000, BU_ATCC8492_03096, BU_ATCC8492_03467, BU_ATCC8492_03566, BU_ATCC8492_03751
OG0000001	BU_ATCC8492_01588, BU_ATCC8492_02845, BU_ATCC8492_02994, BU_ATCC8492_03001, BU_ATCC8492_03095, BU_ATCC8492_03466, BU_ATCC8492_03567, BU_ATCC8492_03752	BU_ATCC8492_01588, BU_ATCC8492_02845, BU_ATCC8492_02994, BU_ATCC8492_03001, BU_ATCC8492_03095, BU_ATCC8492_03466, BU_ATCC8492_03567, BU_ATCC8492_03752	BU_ATCC8492_01588, BU_ATCC8492_02845, BU_ATCC8492_02994, BU_ATCC8492_03001, BU_ATCC8492_03095, BU_ATCC8492_03466, BU_ATCC8492_03567, BU_ATCC8492_03752
OG0000002	BU_ATCC8492_00173, BU_ATCC8492_00500, BU_ATCC8492_00673, BU_ATCC8492_00806, BU_ATCC8492_01454	BU_ATCC8492_00173, BU_ATCC8492_00500, BU_ATCC8492_00673, BU_ATCC8492_00806, BU_ATCC8492_01454	BU_ATCC8492_00173, BU_ATCC8492_00500, BU_ATCC8492_00673, BU_ATCC8492_00806, BU_ATCC8492_01454
OG0000003	BU_ATCC8492_00172, BU_ATCC8492_00332, BU_ATCC8492_00672	BU_ATCC8492_00172, BU_ATCC8492_00332, BU_ATCC8492_00672	BU_ATCC8492_00172, BU_ATCC8492_00332, BU_ATCC8492_00672
OG0000004	BU_ATCC8492_00501, BU_ATCC8492_00807, BU_ATCC8492_01453	BU_ATCC8492_00501, BU_ATCC8492_00807, BU_ATCC8492_01453	BU_ATCC8492_00501, BU_ATCC8492_00807, BU_ATCC8492_01453
OG0000005	BU_ATCC8492_01512, BU_ATCC8492_03913	BU_ATCC8492_01512, BU_ATCC8492_03913	BU_ATCC8492_01512, BU_ATCC8492_03913
OG0000006	BU_ATCC8492_00037, BU_ATCC8492_00196	BU_ATCC8492_00037, BU_ATCC8492_00196	BU_ATCC8492_00037, BU_ATCC8492_00196
OG0000007	BU_ATCC8492_01175, BU_ATCC8492_03229	BU_ATCC8492_01175, BU_ATCC8492_03229	BU_ATCC8492_01175, BU_ATCC8492_03229
OG0000008	BU_ATCC8492_01176, BU_ATCC8492_03230	BU_ATCC8492_01176, BU_ATCC8492_03230	BU_ATCC8492_01176, BU_ATCC8492_03230
OG0000009	BU_ATCC8492_01177, BU_ATCC8492_03231	BU_ATCC8492_01177, BU_ATCC8492_03231	BU_ATCC8492_01177, BU_ATCC8492_03231
OG0000010	BU_ATCC8492_01178, BU_ATCC8492_03232	BU_ATCC8492_01178, BU_ATCC8492_03232	BU_ATCC8492_01178, BU_ATCC8492_03232
OG0000011	BU_ATCC8492_01179, BU_ATCC8492_03233	BU_ATCC8492_01179, BU_ATCC8492_03233	BU_ATCC8492_01179, BU_ATCC8492_03233
