Orthogroup	PV_ATCC8482	PV_ATCC8482_copy
OG0000000	PV_ATCC8482_00206, PV_ATCC8482_01310, PV_ATCC8482_01551, PV_ATCC8482_02079, PV_ATCC8482_02125, PV_ATCC8482_02332, PV_ATCC8482_03011, PV_ATCC8482_03390, PV_ATCC8482_03962, PV_ATCC8482_04002, PV_ATCC8482_04114	PV_ATCC8482_00206, PV_ATCC8482_01310, PV_ATCC8482_01551, PV_ATCC8482_02079, PV_ATCC8482_02125, PV_ATCC8482_02332, PV_ATCC8482_03011, PV_ATCC8482_03390, PV_ATCC8482_03962, PV_ATCC8482_04002, PV_ATCC8482_04114
OG0000001	PV_ATCC8482_00024, PV_ATCC8482_00048, PV_ATCC8482_00178, PV_ATCC8482_01515, PV_ATCC8482_03541, PV_ATCC8482_03597	PV_ATCC8482_00024, PV_ATCC8482_00048, PV_ATCC8482_00178, PV_ATCC8482_01515, PV_ATCC8482_03541, PV_ATCC8482_03597
OG0000002	PV_ATCC8482_00371, PV_ATCC8482_00798, PV_ATCC8482_01573, PV_ATCC8482_03441, PV_ATCC8482_03589	PV_ATCC8482_00371, PV_ATCC8482_00798, PV_ATCC8482_01573, PV_ATCC8482_03441, PV_ATCC8482_03589
OG0000003	PV_ATCC8482_00039, PV_ATCC8482_00389, PV_ATCC8482_00936, PV_ATCC8482_01225, PV_ATCC8482_01787	PV_ATCC8482_00039, PV_ATCC8482_00389, PV_ATCC8482_00936, PV_ATCC8482_01225, PV_ATCC8482_01787
OG0000004	PV_ATCC8482_00372, PV_ATCC8482_00797, PV_ATCC8482_01572, PV_ATCC8482_03442, PV_ATCC8482_03590	PV_ATCC8482_00372, PV_ATCC8482_00797, PV_ATCC8482_01572, PV_ATCC8482_03442, PV_ATCC8482_03590
OG0000005	PV_ATCC8482_01481, PV_ATCC8482_01944, PV_ATCC8482_02700, PV_ATCC8482_02986	PV_ATCC8482_01481, PV_ATCC8482_01944, PV_ATCC8482_02700, PV_ATCC8482_02986
OG0000006	PV_ATCC8482_00388, PV_ATCC8482_00937, PV_ATCC8482_01224, PV_ATCC8482_01788	PV_ATCC8482_00388, PV_ATCC8482_00937, PV_ATCC8482_01224, PV_ATCC8482_01788
OG0000007	PV_ATCC8482_03649, PV_ATCC8482_03655, PV_ATCC8482_03867	PV_ATCC8482_03649, PV_ATCC8482_03655, PV_ATCC8482_03867
OG0000008	PV_ATCC8482_01411, PV_ATCC8482_01486, PV_ATCC8482_01514	PV_ATCC8482_01411, PV_ATCC8482_01486, PV_ATCC8482_01514
OG0000009	PV_ATCC8482_00508, PV_ATCC8482_01272, PV_ATCC8482_01374	PV_ATCC8482_00508, PV_ATCC8482_01272, PV_ATCC8482_01374
OG0000010	PV_ATCC8482_00509, PV_ATCC8482_01273, PV_ATCC8482_01373	PV_ATCC8482_00509, PV_ATCC8482_01273, PV_ATCC8482_01373
OG0000011	PV_ATCC8482_00510, PV_ATCC8482_01274, PV_ATCC8482_01372	PV_ATCC8482_00510, PV_ATCC8482_01274, PV_ATCC8482_01372
OG0000012	PV_ATCC8482_00709, PV_ATCC8482_01619	PV_ATCC8482_00709, PV_ATCC8482_01619
OG0000013	PV_ATCC8482_00717, PV_ATCC8482_01611	PV_ATCC8482_00717, PV_ATCC8482_01611
OG0000014	PV_ATCC8482_00452, PV_ATCC8482_02357	PV_ATCC8482_00452, PV_ATCC8482_02357
OG0000015	PV_ATCC8482_00461, PV_ATCC8482_02364	PV_ATCC8482_00461, PV_ATCC8482_02364
OG0000016	PV_ATCC8482_00462, PV_ATCC8482_02365	PV_ATCC8482_00462, PV_ATCC8482_02365
OG0000017	PV_ATCC8482_00463, PV_ATCC8482_02366	PV_ATCC8482_00463, PV_ATCC8482_02366
OG0000018	PV_ATCC8482_00464, PV_ATCC8482_02367	PV_ATCC8482_00464, PV_ATCC8482_02367
OG0000019	PV_ATCC8482_00707, PV_ATCC8482_01621	PV_ATCC8482_00707, PV_ATCC8482_01621
OG0000020	PV_ATCC8482_00708, PV_ATCC8482_01620	PV_ATCC8482_00708, PV_ATCC8482_01620
OG0000021	PV_ATCC8482_00710, PV_ATCC8482_01618	PV_ATCC8482_00710, PV_ATCC8482_01618
OG0000022	PV_ATCC8482_00711, PV_ATCC8482_01617	PV_ATCC8482_00711, PV_ATCC8482_01617
OG0000023	PV_ATCC8482_00712, PV_ATCC8482_01616	PV_ATCC8482_00712, PV_ATCC8482_01616
OG0000024	PV_ATCC8482_00713, PV_ATCC8482_01615	PV_ATCC8482_00713, PV_ATCC8482_01615
OG0000025	PV_ATCC8482_00714, PV_ATCC8482_01614	PV_ATCC8482_00714, PV_ATCC8482_01614
OG0000026	PV_ATCC8482_00715, PV_ATCC8482_01613	PV_ATCC8482_00715, PV_ATCC8482_01613
OG0000027	PV_ATCC8482_00716, PV_ATCC8482_01612	PV_ATCC8482_00716, PV_ATCC8482_01612
OG0000028	PV_ATCC8482_00718, PV_ATCC8482_01610	PV_ATCC8482_00718, PV_ATCC8482_01610
OG0000029	PV_ATCC8482_00719, PV_ATCC8482_01609	PV_ATCC8482_00719, PV_ATCC8482_01609
