Orthogroup	BU_ATCC8492	PV_ATCC8482	PV_ATCC8482_copy
OG0000000_1	NA	PV_ATCC8482_02700	PV_ATCC8482_copy_02700
OG0000000_2	NA	PV_ATCC8482_01551	PV_ATCC8482_copy_01551
OG0000000_3	NA	PV_ATCC8482_04114	PV_ATCC8482_copy_04114
OG0000000_4	NA	PV_ATCC8482_01944	PV_ATCC8482_copy_01944
OG0000000_5	NA	PV_ATCC8482_03867	PV_ATCC8482_copy_03867
OG0000000_6	NA	PV_ATCC8482_02332	PV_ATCC8482_copy_02332
OG0000000_7	NA	PV_ATCC8482_01310	PV_ATCC8482_copy_01310
OG0000000_8	NA	PV_ATCC8482_02079	PV_ATCC8482_copy_02079
OG0000000_9	NA	PV_ATCC8482_04002	PV_ATCC8482_copy_04002
OG0000000_10	NA	PV_ATCC8482_02986	PV_ATCC8482_copy_02986
OG0000000_11	NA	PV_ATCC8482_03390	PV_ATCC8482_copy_03390
OG0000000_12	NA	PV_ATCC8482_03649	PV_ATCC8482_copy_03649
OG0000000_13	NA	PV_ATCC8482_03011	PV_ATCC8482_copy_03011
OG0000000_14	NA	PV_ATCC8482_03655	PV_ATCC8482_copy_03655
OG0000000_15	NA	PV_ATCC8482_01481	PV_ATCC8482_copy_01481
OG0000000_16	NA	PV_ATCC8482_02125	PV_ATCC8482_copy_02125
OG0000000_17	NA	PV_ATCC8482_00206	PV_ATCC8482_copy_00206
OG0000000_18	NA	PV_ATCC8482_02141	PV_ATCC8482_copy_02141
OG0000000_19	NA	PV_ATCC8482_03962	PV_ATCC8482_copy_03962
OG0000000_20	BU_ATCC8492_02813	NA	NA
OG0000000_21	BU_ATCC8492_00653	NA	NA
OG0000001_1	NA	PV_ATCC8482_01206	PV_ATCC8482_copy_01206
OG0000001_2	BU_ATCC8492_01034	NA	NA
OG0000001_3	BU_ATCC8492_00555	NA	NA
OG0000001_4	BU_ATCC8492_01196	NA	NA
OG0000001_5	BU_ATCC8492_02223	NA	NA
OG0000001_6	BU_ATCC8492_01200	NA	NA
OG0000001_7	BU_ATCC8492_01201	NA	NA
OG0000001_8	BU_ATCC8492_01719	NA	NA
OG0000001_9	BU_ATCC8492_00703	NA	NA
OG0000001_10	BU_ATCC8492_00714	NA	NA
OG0000001_11	BU_ATCC8492_01098	NA	NA
OG0000001_12	BU_ATCC8492_00592	NA	NA
OG0000001_13	BU_ATCC8492_00595	NA	NA
OG0000001_14	BU_ATCC8492_01245	NA	NA
OG0000001_15	BU_ATCC8492_00752	NA	NA
OG0000001_16	BU_ATCC8492_00753	NA	NA
OG0000001_17	BU_ATCC8492_00755	NA	NA
OG0000001_18	BU_ATCC8492_03573	NA	NA
OG0000001_19	BU_ATCC8492_03574	NA	NA
OG0000001_20	BU_ATCC8492_00251	NA	NA
OG0000002_1	NA	PV_ATCC8482_00874	PV_ATCC8482_copy_00874
OG0000002_2	BU_ATCC8492_00707	NA	NA
OG0000002_3	BU_ATCC8492_01541	NA	NA
OG0000002_4	BU_ATCC8492_00422	NA	NA
OG0000002_5	BU_ATCC8492_02024	NA	NA
OG0000002_6	BU_ATCC8492_00650	NA	NA
OG0000002_7	BU_ATCC8492_01194	NA	NA
OG0000002_8	BU_ATCC8492_00588	NA	NA
OG0000002_9	BU_ATCC8492_00749	NA	NA
OG0000002_10	BU_ATCC8492_02218	NA	NA
OG0000002_11	BU_ATCC8492_00559	NA	NA
OG0000002_12	BU_ATCC8492_03503	NA	NA
OG0000002_13	BU_ATCC8492_00593	NA	NA
OG0000002_14	BU_ATCC8492_01236	NA	NA
OG0000002_15	BU_ATCC8492_03805	NA	NA
OG0000002_16	BU_ATCC8492_00991	NA	NA
OG0000003_1	NA	PV_ATCC8482_02369	PV_ATCC8482_copy_02369
OG0000003_2	BU_ATCC8492_00418	NA	NA
OG0000003_3	BU_ATCC8492_03267	NA	NA
OG0000003_4	BU_ATCC8492_01636	NA	NA
OG0000003_5	BU_ATCC8492_03205	NA	NA
OG0000003_6	BU_ATCC8492_03749	NA	NA
OG0000003_7	BU_ATCC8492_03879	NA	NA
OG0000003_8	BU_ATCC8492_02059	NA	NA
OG0000003_9	BU_ATCC8492_02862	NA	NA
OG0000003_10	BU_ATCC8492_01593	NA	NA
OG0000003_11	BU_ATCC8492_03314	NA	NA
OG0000003_12	BU_ATCC8492_01269	NA	NA
OG0000003_13	BU_ATCC8492_02550	NA	NA
OG0000003_14	BU_ATCC8492_00537	NA	NA
