Orthogroup	BU_ATCC8492	PV_ATCC8482
OG0000000_2	BU_ATCC8492_00653	PV_ATCC8482_01481
OG0000000_3	BU_ATCC8492_02813	NA
OG0000000_4	NA	PV_ATCC8482_02700
OG0000000_5	NA	PV_ATCC8482_01551
OG0000000_6	NA	PV_ATCC8482_04114
OG0000000_7	NA	PV_ATCC8482_01944
OG0000000_8	NA	PV_ATCC8482_03867
OG0000000_9	NA	PV_ATCC8482_02332
OG0000000_10	NA	PV_ATCC8482_01310
OG0000000_11	NA	PV_ATCC8482_02079
OG0000000_12	NA	PV_ATCC8482_04002
OG0000000_13	NA	PV_ATCC8482_02986
OG0000000_14	NA	PV_ATCC8482_03390
OG0000000_15	NA	PV_ATCC8482_03649
OG0000000_16	NA	PV_ATCC8482_03011
OG0000000_17	NA	PV_ATCC8482_03655
OG0000000_18	NA	PV_ATCC8482_02125
OG0000000_19	NA	PV_ATCC8482_00206
OG0000000_20	NA	PV_ATCC8482_02141
OG0000000_21	NA	PV_ATCC8482_03962
OG0000001_1	BU_ATCC8492_01034	NA
OG0000001_2	BU_ATCC8492_00555	NA
OG0000001_3	BU_ATCC8492_01196	NA
OG0000001_4	BU_ATCC8492_02223	NA
OG0000001_5	BU_ATCC8492_01200	NA
OG0000001_6	BU_ATCC8492_01201	NA
OG0000001_7	BU_ATCC8492_01719	NA
OG0000001_8	BU_ATCC8492_00703	NA
OG0000001_9	BU_ATCC8492_00714	NA
OG0000001_10	BU_ATCC8492_01098	NA
OG0000001_11	BU_ATCC8492_00592	NA
OG0000001_12	BU_ATCC8492_00595	NA
OG0000001_13	BU_ATCC8492_01245	NA
OG0000001_14	BU_ATCC8492_00752	NA
OG0000001_15	BU_ATCC8492_00753	NA
OG0000001_16	BU_ATCC8492_00755	NA
OG0000001_17	BU_ATCC8492_03573	NA
OG0000001_18	BU_ATCC8492_03574	NA
OG0000001_19	BU_ATCC8492_00251	NA
OG0000001_20	NA	PV_ATCC8482_01206
OG0000002_1	BU_ATCC8492_00707	NA
OG0000002_2	BU_ATCC8492_01541	NA
OG0000002_3	BU_ATCC8492_00422	NA
OG0000002_4	BU_ATCC8492_02024	NA
OG0000002_5	BU_ATCC8492_00650	NA
OG0000002_6	BU_ATCC8492_01194	NA
OG0000002_7	BU_ATCC8492_00588	NA
OG0000002_8	BU_ATCC8492_00749	NA
OG0000002_9	BU_ATCC8492_02218	NA
OG0000002_10	BU_ATCC8492_00559	NA
OG0000002_11	BU_ATCC8492_03503	NA
OG0000002_12	BU_ATCC8492_00593	NA
OG0000002_13	BU_ATCC8492_01236	NA
OG0000002_14	BU_ATCC8492_03805	NA
OG0000002_15	BU_ATCC8492_00991	NA
OG0000002_16	NA	PV_ATCC8482_00874
OG0000003_1	BU_ATCC8492_00418	NA
OG0000003_2	BU_ATCC8492_03267	NA
OG0000003_3	BU_ATCC8492_01636	NA
OG0000003_4	BU_ATCC8492_03205	NA
OG0000003_5	BU_ATCC8492_03749	NA
OG0000003_6	BU_ATCC8492_03879	NA
OG0000003_7	BU_ATCC8492_02059	NA
OG0000003_8	BU_ATCC8492_02862	NA
OG0000003_9	BU_ATCC8492_01593	NA
OG0000003_10	BU_ATCC8492_03314	NA
OG0000003_11	BU_ATCC8492_01269	NA
OG0000003_12	BU_ATCC8492_02550	NA
OG0000003_13	BU_ATCC8492_00537	NA
OG0000003_14	BU_ATCC8492_00924	NA
OG0000003_15	BU_ATCC8492_02653	NA
OG0000003_16	NA	PV_ATCC8482_02369
OG0000004_1	BU_ATCC8492_03286	PV_ATCC8482_03654
OG0000004_2	NA	PV_ATCC8482_02625
OG0000004_3	NA	PV_ATCC8482_03555
OG0000004_4	NA	PV_ATCC8482_02501
OG0000004_5	NA	PV_ATCC8482_02286
OG0000004_6	NA	PV_ATCC8482_02287
OG0000004_7	NA	PV_ATCC8482_00432
OG0000004_8	NA	PV_ATCC8482_02579
OG0000004_9	NA	PV_ATCC8482_00117
OG0000004_10	NA	PV_ATCC8482_02263
OG0000004_11	NA	PV_ATCC8482_03161
OG0000004_12	NA	PV_ATCC8482_02076
OG0000004_13	NA	PV_ATCC8482_02045
OG0000005_1	BU_ATCC8492_01116	NA
OG0000005_2	NA	PV_ATCC8482_00384
OG0000005_3	NA	PV_ATCC8482_03009
OG0000005_4	NA	PV_ATCC8482_00041
OG0000005_5	NA	PV_ATCC8482_00142
OG0000005_6	NA	PV_ATCC8482_00175
OG0000005_7	NA	PV_ATCC8482_00177
OG0000005_8	NA	PV_ATCC8482_00179
OG0000005_9	NA	PV_ATCC8482_01876
OG0000005_10	NA	PV_ATCC8482_00315
OG0000005_11	NA	PV_ATCC8482_03006
OG0000006_1	BU_ATCC8492_00255	NA
OG0000006_2	NA	PV_ATCC8482_03010
OG0000006_3	NA	PV_ATCC8482_00040
OG0000006_4	NA	PV_ATCC8482_00141
OG0000006_5	NA	PV_ATCC8482_00174
OG0000006_6	NA	PV_ATCC8482_00180
OG0000006_7	NA	PV_ATCC8482_01877
OG0000006_8	NA	PV_ATCC8482_00536
OG0000006_9	NA	PV_ATCC8482_03007
OG0000006_10	NA	PV_ATCC8482_00316
OG0000006_11	NA	PV_ATCC8482_00383
OG0000007_1	BU_ATCC8492_00708	NA
OG0000007_2	BU_ATCC8492_00711	NA
OG0000007_3	BU_ATCC8492_00999	NA
OG0000007_4	BU_ATCC8492_01003	NA
OG0000007_5	BU_ATCC8492_02028	NA
OG0000007_6	BU_ATCC8492_01806	NA
OG0000007_7	BU_ATCC8492_01008	NA
OG0000007_8	BU_ATCC8492_00789	NA
OG0000007_9	BU_ATCC8492_00982	NA
OG0000007_10	BU_ATCC8492_00796	NA
OG0000007_11	BU_ATCC8492_00990	NA
OG0000008_1	BU_ATCC8492_01294	NA
OG0000008_2	NA	PV_ATCC8482_03008
OG0000008_3	NA	PV_ATCC8482_03233
OG0000008_4	NA	PV_ATCC8482_01411
OG0000008_5	NA	PV_ATCC8482_01514
OG0000008_6	NA	PV_ATCC8482_00843
OG0000008_7	NA	PV_ATCC8482_01486
OG0000008_8	NA	PV_ATCC8482_01555
OG0000008_9	NA	PV_ATCC8482_01332
OG0000008_10	NA	PV_ATCC8482_03894
OG0000008_11	NA	PV_ATCC8482_01916
OG0000009_1	BU_ATCC8492_03752	NA
OG0000009_2	BU_ATCC8492_03466	NA
OG0000009_3	BU_ATCC8492_03567	NA
